line_key,line_name,rule_ref,authority,payment_grain,scope,code_system,code,qualifier,qualifier_means,binding_role,source_definition,adjudicated,vernacular_aliases,do_not_alias_with
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,750,2,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,750,3,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,750,4,severity of illness,grouped_to,SCHIZOPHRENIA,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,751,1,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,751,2,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,751,3,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,751,4,severity of illness,grouped_to,MAJOR DEPRESSIVE DISORDERS AND OTHER OR UNSPECIFIED PSYCHOSES,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,752,1,severity of illness,grouped_to,DISORDERS OF PERSONALITY AND IMPULSE CONTROL,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,752,2,severity of illness,grouped_to,DISORDERS OF PERSONALITY AND IMPULSE CONTROL,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,752,3,severity of illness,grouped_to,DISORDERS OF PERSONALITY AND IMPULSE CONTROL,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,752,4,severity of illness,grouped_to,DISORDERS OF PERSONALITY AND IMPULSE CONTROL,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,753,1,severity of illness,grouped_to,BIPOLAR DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,753,2,severity of illness,grouped_to,BIPOLAR DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,753,3,severity of illness,grouped_to,BIPOLAR DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,753,4,severity of illness,grouped_to,BIPOLAR DISORDERS,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,754,1,severity of illness,grouped_to,DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,754,2,severity of illness,grouped_to,DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,754,3,severity of illness,grouped_to,DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,754,4,severity of illness,grouped_to,DEPRESSION EXCEPT MAJOR DEPRESSIVE DISORDER,True,,
sipp,Statewide Inpatient Psychiatric Program (SIPP),59G-4.120,AHCA 59G rule,facility_per_diem,serve,apr_drg,755,1,severity of illness,grouped_to,ADJUSTMENT DISORDERS AND NEUROSES EXCEPT DEPRESSIVE DIAGNOSES,True,,
