location_id,taxonomy_code,taxonomy_description,medicaid_approved,location_address
45c5b171932dd660,2084P0804X,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",True,"5266 GOLDEN GATE PKWY, NAPLES, FL 34116"
45c5b171932dd660,251S00000X,"A private or public agency usually under local government jurisdiction, responsible for assuring the delivery of community based mental health, intellectual disabilities, substance abuse and/or behavioral health services to individuals with those disabilities. Services may range from companion care, respite, transportation, community integration, crisis intervention and stabilization, supported employment, day support, prevocational services, residential support, therapeutic and supportive consultation, environmental modifications, intensive in-home therapy and day treatment, in addition to traditional mental health and behavioral treatment.",True,"5266 GOLDEN GATE PKWY, NAPLES, FL 34116"
45c5b171932dd660,261QM0801X,Definition to come...,True,"5266 GOLDEN GATE PKWY, NAPLES, FL 34116"
45c5b171932dd660,363LP0808X,Definition to come...,True,"5266 GOLDEN GATE PKWY, NAPLES, FL 34116"
45c5b171932dd660,390200000X,"An individual who is enrolled in an organized health care education/training program leading to a degree, certification, registration, and/or licensure to provide health care.",True,"5266 GOLDEN GATE PKWY, NAPLES, FL 34116"
2b79de56dd2ceabd,101Y00000X,A provider who is trained and educated in the performance of behavior health services through interpersonal communications and analysis. Training and education at the specialty level usually requires a master's degree and clinical experience and supervision for licensure or certification.,True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,101YA0400X,Definition to come...,True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,101YM0800X,Definition to come...,True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,1041C0700X,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,106H00000X,"A marriage and family therapist is a person with a master's degree in marriage and family therapy, or a master's or doctoral degree in a related mental health field with substantially equivalent coursework in marriage and family therapy, who receives supervised clinical experience, or a person who meets the state requirements to practice as a marriage and family therapist.  A marriage and family therapist treats mental and emotional disorders within the context of marriage and family systems.   A marriage and family therapist provides mental health and counseling services to individuals, couples, families, and groups.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,207R00000X,"A physician who provides long-term, comprehensive care in the office and the hospital, managing both common and complex illness of adolescents, adults and the elderly. Internists are trained in the diagnosis and treatment of cancer, infections and diseases affecting the heart, blood, kidneys, joints and digestive, respiratory and vascular systems. They are also trained in the essentials of primary care internal medicine, which incorporates an understanding of disease prevention, wellness, substance abuse, mental health and effective treatment of common problems of the eyes, ears, skin, nervous system and reproductive organs.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,207RC0000X,"An internist who specializes in diseases of the heart and blood vessels and manages complex cardiac conditions such as heart attacks and life-threatening, abnormal heartbeat rhythms.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,207RC0200X,"An internist who diagnoses, treats and supports patients with multiple organ dysfunction. This specialist may have administrative responsibilities for intensive care units and may also facilitate and coordinate patient care among the primary physician, the critical care staff and other specialists.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,2084N0400X,"A Neurologist specializes in the diagnosis and treatment of diseases or impaired function of the brain, spinal cord, peripheral nerves, muscles, autonomic nervous system, and blood vessels that relate to these structures.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,2084P0800X,"A Psychiatrist specializes in the prevention, diagnosis, and treatment of mental disorders, emotional disorders, psychotic disorders, mood disorders, anxiety disorders, substance-related disorders, sexual and gender identity disorders and adjustment disorders. Biologic, psychological, and social components of illnesses are explored and understood in treatment of the whole person. Tools used may include diagnostic laboratory tests, prescribed medications, evaluation and treatment of psychological and interpersonal problems with individuals and families, and intervention for coping with stress, crises, and other problems.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,2084P0804X,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,251B00000X,"An organization that is responsible for providing case management services.  The agency provides services which assist an individual in gaining access to needed medical, social, educational, and/or other services.  Case management services may be used to locate, coordinate, and monitor necessary appropriate services.  It may be used to encourage the use of cost-effective medical care by referrals to appropriate providers and to discourage over utilization of costly services.  Case management may also serve to provide necessary coordination of non-medical services such as vocational rehabilitation, education, employment, when the services provided enable the individual to function at the highest level.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,251S00000X,"A private or public agency usually under local government jurisdiction, responsible for assuring the delivery of community based mental health, intellectual disabilities, substance abuse and/or behavioral health services to individuals with those disabilities. Services may range from companion care, respite, transportation, community integration, crisis intervention and stabilization, supported employment, day support, prevocational services, residential support, therapeutic and supportive consultation, environmental modifications, intensive in-home therapy and day treatment, in addition to traditional mental health and behavioral treatment.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,261QM0801X,Definition to come...,True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,305S00000X,This product may also be called an open-ended HMO and offers a transition product incorporating features of both HMOs and PPOs. Beneficiaries are enrolled in an HMO but have the option to go outside the networks for an additional cost.,True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,363LP0808X,Definition to come...,True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
2b79de56dd2ceabd,390200000X,"An individual who is enrolled in an organized health care education/training program leading to a degree, certification, registration, and/or licensure to provide health care.",True,"228 PLAZA DR, LEHIGH ACRES, FL 33936"
e12e151676290b6e,101Y00000X,A provider who is trained and educated in the performance of behavior health services through interpersonal communications and analysis. Training and education at the specialty level usually requires a master's degree and clinical experience and supervision for licensure or certification.,True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,101YA0400X,Definition to come...,True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,101YM0800X,Definition to come...,True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,1041C0700X,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,106H00000X,"A marriage and family therapist is a person with a master's degree in marriage and family therapy, or a master's or doctoral degree in a related mental health field with substantially equivalent coursework in marriage and family therapy, who receives supervised clinical experience, or a person who meets the state requirements to practice as a marriage and family therapist.  A marriage and family therapist treats mental and emotional disorders within the context of marriage and family systems.   A marriage and family therapist provides mental health and counseling services to individuals, couples, families, and groups.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,1223G0001X,"A general dentist is the primary dental care provider for patients of all ages. The general dentist is responsible for the diagnosis, treatment, management and overall coordination of services related to patients' oral health needs.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,2084P0800X,"A Psychiatrist specializes in the prevention, diagnosis, and treatment of mental disorders, emotional disorders, psychotic disorders, mood disorders, anxiety disorders, substance-related disorders, sexual and gender identity disorders and adjustment disorders. Biologic, psychological, and social components of illnesses are explored and understood in treatment of the whole person. Tools used may include diagnostic laboratory tests, prescribed medications, evaluation and treatment of psychological and interpersonal problems with individuals and families, and intervention for coping with stress, crises, and other problems.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,2084P0804X,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,251S00000X,"A private or public agency usually under local government jurisdiction, responsible for assuring the delivery of community based mental health, intellectual disabilities, substance abuse and/or behavioral health services to individuals with those disabilities. Services may range from companion care, respite, transportation, community integration, crisis intervention and stabilization, supported employment, day support, prevocational services, residential support, therapeutic and supportive consultation, environmental modifications, intensive in-home therapy and day treatment, in addition to traditional mental health and behavioral treatment.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,261QM0801X,Definition to come...,True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,363LP0808X,Definition to come...,True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
e12e151676290b6e,390200000X,"An individual who is enrolled in an organized health care education/training program leading to a degree, certification, registration, and/or licensure to provide health care.",True,"7211 VANDERBILT BEACH RD STE 12, NAPLES, FL 34119"
dd4dac9b23ed15b9,101Y00000X,A provider who is trained and educated in the performance of behavior health services through interpersonal communications and analysis. Training and education at the specialty level usually requires a master's degree and clinical experience and supervision for licensure or certification.,True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,101YA0400X,Definition to come...,True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,101YM0800X,Definition to come...,True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,101YP2500X,Definition to come...,True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,103K00000X,"A behavior analyst is qualified by at least a master's degree and Behavior Analyst Certification Board certification and/or a state-issued credential (such as a license) to practice behavior analysis independently. Behavior analysts provide the required supervision to assistant behavior analysts and behavior technicians. A behavior analyst delivers services consistent with the dimensions of applied behavior analysis. Common services may include, but are not limited to, conducting behavioral assessments, analyzing data, writing and revising behavior-analytic treatment plans, training others to implement components of treatment plans, and overseeing implementation of treatment plans.",True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,1041C0700X,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,106H00000X,"A marriage and family therapist is a person with a master's degree in marriage and family therapy, or a master's or doctoral degree in a related mental health field with substantially equivalent coursework in marriage and family therapy, who receives supervised clinical experience, or a person who meets the state requirements to practice as a marriage and family therapist.  A marriage and family therapist treats mental and emotional disorders within the context of marriage and family systems.   A marriage and family therapist provides mental health and counseling services to individuals, couples, families, and groups.",True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
dd4dac9b23ed15b9,171M00000X,"A person who provides case management services and assists an individual in gaining access to needed medical, social, educational, and/or other services.  The person has the ability to provide an assessment and review of completed plan of care on a periodic basis.  This person is also able to take collaborative action to coordinate the services with other providers and monitor the enrollee's progress toward the cost-effective achievement of objectives specified in the plan of care.  Credentials may vary from an experience in the fields of psychology, social work, rehabilitation, nursing or a closely related human service field, to a related Assoc of Arts Degree or to nursing credentials.  Some states may require certification in case management.",True,"1001 N MIAMI BEACH BLVD, NORTH MIAMI BEACH, FL 33162"
