filename,link_text,url,format,effective,rule_number,source_page,source_page_url,rate_class,corpus,bh_direct,bh_crosscut
59G-4.120 SIPP_Coverage_Policy_Adoption1 (1).pdf,Statewide Inpatient Psychiatric Program,https://ahca.myflorida.com/content/download/27074/file/59G-4.120%20SIPP_Coverage_Policy_Adoption1%20%281%29.pdf,pdf,,59G-4.120,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.127 Florida Assertive Community Treatment Services_December 2023.pdf,Florida Assertive Community Treatment Services,https://ahca.myflorida.com/content/download/23793/file/59G-4.127%20Florida%20Assertive%20Community%20Treatment%20Services_December%202023.pdf,pdf,2023,59G-4.127,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.295_Therapeutic_Group_Care_Services.pdf,Therapeutic Group Care Services,https://ahca.myflorida.com/content/download/5965/file/59G-4.295_Therapeutic_Group_Care_Services.pdf,pdf,,59G-4.295,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.300_State_Health_Plan.pdf,State Mental Health,https://ahca.myflorida.com/content/download/5966/file/59G-4.300_State_Health_Plan.pdf,pdf,,59G-4.300,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.310 TCM for Children at Risk of Abuse and Neglect_Adoption.pdf,Targeted Case Management for Children at Risk of Abuse and Neglect,https://ahca.myflorida.com/content/download/27075/file/59G-4.310%20TCM%20for%20Children%20at%20Risk%20of%20Abuse%20and%20Neglect_Adoption.pdf,pdf,,59G-4.310,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-4.370.pdf,Behavioral Health Intervention Services,https://ahca.myflorida.com/content/download/5968/file/59G-4.370.pdf,pdf,,59G-4.370,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
59G-8.700 CHS Targeted Case Management Coverage and Limitations Handbook_June 2012 (2).pdf,Child Health Services Targeted Case Management,https://ahca.myflorida.com/content/download/27080/file/59G-8.700%20CHS%20Targeted%20Case%20Management%20Coverage%20and%20Limitations%20Handbook_June%202012%20%282%29.pdf,pdf,2012,59G-8.700,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
CL_07_070601_MH_Case_Mgmt_ver2_2.pdf,Mental Health Targeted Case Management,https://ahca.myflorida.com/content/download/7045/file/CL_07_070601_MH_Case_Mgmt_ver2_2.pdf,pdf,,,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
Developmental Disabilities Individual Budgeting Waiver Services Provider Rate Table October 1 2025.pdf,Developmental Disabilities Individual Budgeting Waiver Services Provider Rate Table,https://ahca.myflorida.com/content/download/28707/file/Developmental%20Disabilities%20Individual%20Budgeting%20Waiver%20Services%20Provider%20Rate%20Table%20October%201%202025.pdf,pdf,"October 1, 2025",,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
Florida Medicaid Behavior Analysis Services Coverage Policy.pdf,Behavior Analysis Services,https://ahca.myflorida.com/content/download/25728/file/Florida%20Medicaid%20Behavior%20Analysis%20Services%20Coverage%20Policy.pdf,pdf,,,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
Florida Medicaid Qualified Residential Treatment Progam Services Coverage Policy May 2025.pdf,Qualified Residential Treatment Program Services,https://ahca.myflorida.com/content/download/26699/file/Florida%20Medicaid%20Qualified%20Residential%20Treatment%20Progam%20Services%20Coverage%20Policy%20May%202025.pdf,pdf,2025,,Adopted Rules – Service Specific Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-service-specific-policies.html,policy_service_specific,policy,Y,
